sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
row-mgum.8udn~mzqu,00000000-0000-0000-F089-3C293B680CD5,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,various sports,2018-07-23T00:00:00,2018-07-27T00:00:00,0,6,9,7,8,9,0,39
row-pfpw~5i58-dth2,00000000-0000-0000-388E-86DB661150DA,0,1540996344,,1540996344,,{ },Staten Island,Playground for All Children,flag football / basketball/ pickleball/bocce/volleyball,2018-07-22T00:00:00,2018-07-28T00:00:00,0,0,70,45,80,25,200,420
row-pcpn.3f27~yiwk,00000000-0000-0000-BCCF-11D2156D1B0B,0,1540996344,,1540996344,,{ },Staten Island,Playground for All Children,basketball/flag football,2018-07-01T00:00:00,2018-07-07T00:00:00,0,0,0,0,85,60,90,235
row-fgfw~cq6h-cnuy,00000000-0000-0000-1630-A3A29B71234D,0,1540996344,,1540996344,,{ },Staten Island,Playground for All Children,flag football/ basketball/bocce,2018-07-08T00:00:00,2018-07-14T00:00:00,0,0,0,45,65,70,200,380
row-tejg.6uz9-8fyh,00000000-0000-0000-23CA-6FBFBAF1659F,0,1540996344,,1540996344,,{ },Staten Island,Playground for All Children,basketball/ flag football/  bocce,2018-07-15T00:00:00,2018-07-21T00:00:00,0,0,60,50,75,80,40,305
row-3rnj_ujun.wwmj,00000000-0000-0000-D167-4E28F865146D,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-07-30T00:00:00,2018-08-03T00:00:00,0,138,162,73,125,0,0,498
row-khqg_h9qa-xwtg,00000000-0000-0000-3BCD-491B9BB6A8F1,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-05-07T00:00:00,2018-05-11T00:00:00,0,36,31,33,32,22,0,154
row-7ipr-t2cn~49vz,00000000-0000-0000-16DC-FE89FA6676A2,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-05-14T00:00:00,2018-05-18T00:00:00,0,46,46,47,37,36,0,212
row-zjih~mx6m.z7aw,00000000-0000-0000-D425-8A8CA4B3278E,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-05-21T00:00:00,2018-05-25T00:00:00,0,47,40,44,36,49,0,216
row-n8b6_exky_4wn3,00000000-0000-0000-2147-6F4299BB0D39,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-05-28T00:00:00,2018-06-01T00:00:00,0,43,48,48,39,37,0,215
row-vbuc-phh2_f6ns,00000000-0000-0000-42E3-1453752E5ACC,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",2018-06-04T00:00:00,2018-06-08T00:00:00,0,45,39,42,31,50,0,207
